Line;seq;SO;Ext.order;WO;Status;print;obrada;Drawings;Truck;Truck date;CUSTOMER;Customer comment;EAN;DESCRIPTION;DESCRIPTION2;Color;QTY;Reason - comment;Nav Painted;WELDED;SHIPPED;STOCK;REST;TBP;logic palet 1;logic palet 2;logic palet 3;logic palet 4;BIG;EURO;PROGRESS;calc;Rest2;EX.SHIP DATE;Unit price;Rest price
F-LINE;0;SO027572;PO005012;WO074120;Released;1;OC;Drawing;GB-2210;45952;KENDA GB Rugeley Ltd;PRIO;614014;WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10;VG3 Yellow (CP1090 JCB) STARCO 3423@30;RAL1028;120;;0;0;0;0;120;120;10;;10;0;10;;0;120;120;45919;87,36;10483,2
G-LINE;0;SO027599;GKP/2025/04;WO074235;Released;1;CO Puncher;Drawing;GKP-2210;45952;GRASDORF KOLA POLSKA Sp. z.o.o.;;743592;WB 9.00x15.3 H2 5/94/140 Ø18.5 R14 ET0;VG2 Orange RAL2004  CP1108 STARCO 1000@30;RAL2004;12;;0;0;0;0;12;12;0,428571429;;0;0,428571429;;1;0;12;12;45947;94,48;1133,76
F-LINE;0;SO027883;PO005112;WO075200;Released;1;OC;Drawing;GB-2210;45952;KENDA GB Rugeley Ltd;;110813;WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10;VG3 Yellow (CP1090) KENDA 3423@30;JCB YELLOW;120;;0;0;0;0;120;120;10;;10;0;10;;0;120;120;45930;81;9720
G-LINE;0;SO027650;PO005020;WO074443;Released;1;OC;Drawing;GB-2210;45952;KENDA GB Rugeley Ltd;PRIO;614052;WB 9.00x15.3 H2 6/161/205 Ø20 R16 ET-45;VG3 Yellow (CP1090 JCB) STARCO 1710@22;RAL1028;112;;0;0;0;0;112;112;4;;4;0;4;;0;112;112;45940;41,76;4677,12
G-LINE;0;SO027572;PO005012;WO074121;Released;1;OC;Drawing;GB-2210;45952;KENDA GB Rugeley Ltd;PRIO 0;676517;WB 9.00x15.3 H2 6/161/205 Ø21.5 R16 ET23;VG3 Black RAL9005 STARCO 1225@20;RAL9005;56;;0;0;0;0;56;56;2;;2;0;2;;0;56;56;45919;41,11;2302,16
ROLLING-LINE;0;SO027741;BE-250825-005;WO074761;Released;1;;Drawing;GRAD-2210;45952;Grasdorf Rad  GmbH;;494951;DU Spacer Emc2 42-385;with clamp ring;;6;;0;0;0;0;6;6;1,2;;1;0,2;1;1;0;6;6;45933;244,5;1467
SPIN;0;SO027741;BE-250825-005;WO074762;Firm Planned;0;;Drawing;GRAD-2210;45952;Grasdorf Rad  GmbH;;502427;DU Spacer Stepped 54/42K-128;;;4;;0;0;0;0;4;4;0,8;;0;0,8;;1;0;4;4;45933;153,24;612,96
ROLLING-LINE;0;SO027741;BE-250825-005;WO074763;Released;1;;Drawing;GRAD-2210;45952;Grasdorf Rad  GmbH;;558882;DU Spacer Standard 26K-350;with clamp ring;;5;;5;5;0;5;5;0;1;;1;0;1;;1;0;0;45933;155,48;777,4
E-LINE;0;SO027572;PO005012;WO074124;Released;1;CO Puncher;Drawing;GB-2210;45952;KENDA GB Rugeley Ltd;PRIO 0;723846;WB 8.50Ix12 H2 5/71/152.4 Ø14 C60 ET60;White RAL9002 STARCO 800@40;RAL9002;96;;0;0;0;0;96;96;2;;2;0;2;;0;96;96;45919;33,39;3205,44
ROLLING-LINE;0;SO027751;EB25-99-04169;WO074785;Released;1;;Drawing;GRAD-2210;45952;GRASDORF GmbH;;586151;DU AW Spacer Standard 24-200,0;RAL3000 Red;RAL3000;4;;0;0;0;0;4;4;0,2;;0;0,2;;1;0;4;4;45961;104,4;417,6
F-LINE;0;SO027599;GKP/2025/04;WO074236;Released;1;OC;Drawing;GKP-2210;45952;GRASDORF KOLA POLSKA Sp. z.o.o.;;743547;WB W13x20 H2 8/221/275 Ø21.5 R16 ET60;VG3 Orange RAL2004  CP1108 STARCO 3500@35;RAL2004;8;;0;0;0;0;8;8;0,666666667;;0;0,666666667;;1;0;8;8;45947;226,89;1815,12
F-LINE;0;SO027599;GKP/2025/04;WO074221;Released;1;prolazne rupe;Drawing;GKP-2210;45952;GRASDORF KOLA POLSKA Sp. z.o.o.;;681344;WB W9x18 H2 5/108/139.5 Ø17.5 ET-13;Silver RAL9006 STARCO 750@30;RAL9006;8;;0;0;0;0;8;8;0,5;;0;0,5;;1;0;8;8;45947;99,23;793,84
F-LINE;0;SO027599;GKP/2025/04;WO074222;Released;1;prolazne rupe;Drawing;GKP-2210;45952;GRASDORF KOLA POLSKA Sp. z.o.o.;;622798;WB W9x18 H2 6/110/150 Ø17.5 ET-5;VG2 White RAL9010 STARCO 1200@40;RAL9010;8;;0;0;0;0;8;8;0,5;;0;0,5;;1;0;8;8;45947;112,67;901,36
F-LINE;0;SO027599;GKP/2025/04;WO074223;Released;1;prolazne rupe;Drawing;GKP-2210;45952;GRASDORF KOLA POLSKA Sp. z.o.o.;;454061;WB W9x18 H2 6/117.4/152.4 Ø17 ET-5;Orange (BS 592 KUBOTA) STARCO 1200@50;KUBOTA ORANGE;12;;0;0;0;0;12;12;0,75;;0;0,75;;1;0;12;12;45947;99,27;1191,24
F-LINE;0;SO027599;GKP/2025/04;WO074237;Released;1;prolazne rupe;Drawing;GKP-2210;45952;GRASDORF KOLA POLSKA Sp. z.o.o.;;511313;WB W9x20 H2 6/114.5/152 Ø16 ET-45;VG3 Orange CP1031 STARCO 1060@40;KUBOTA ORANGE;4;;0;0;0;0;4;4;0,25;;0;0,25;;1;0;4;4;45947;169,38;677,52
E-LINE;0;SO027516;BE25-000870;WO073896;Released;1;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;282541;RM 10.50I-12 H2;STARCO;UNPAINTED/OILED;2;;0;0;0;0;2;2;0,04;;0;0,04;;1;0;2;2;45919;145,29;290,58
E-LINE;0;SO027739;BE25-001160;WO074758;Firm Planned;0;prolazne rupe;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;165523;WB 10.00Ix12 H2 4/131/156 Ø10.5 ET11;VG3 Silver RAL9006 STARCO 195@90;RAL9006;10;;0;0;0;0;10;10;0,208333333;;0;0,208333333;;1;0;10;10;45961;71,36;713,6
E-LINE;0;SO027560;BE25-000798;WO074066;Released;2;OC;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;491233;WB 10.00Ix12 H2 4/56/110 Ø12.5 C60 ET21;VG3 Silver RAL9006 STARCO 460@90;RAL9006 HIGH GLOSS;50;;0;0;0;0;50;50;1,785714286;;1;0,785714286;1;1;0;50;50;45912;33,32;1666
E-LINE;0;SO027738;BE25-001117;WO074753;Firm Planned;0;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;144276;WB 10.50Ix12 H2 4/60/100 Ø15 C60 ET-20 RFH;VG2 Black RAL9005 STARCO 785@16;RAL9005 (CP1013);200;;0;0;0;0;200;200;5,555555556;;5;0,555555556;5;1;0;200;200;45961;64,2;12840
E-LINE;0;SO027320;BE25-000668;WO073330;Released;3;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;RFH;144276;WB 10.50Ix12 H2 4/60/100 Ø15 C60 ET-20 RFH;VG2 Black RAL9005 STARCO 785@16;RAL9005 (CP1013);300;paint rework;289;300;-289;0;11;11;0,305555556;;0;0,305555556;;1;0,963333333;11;11;45869;64,2;706,2
E-LINE;0;SO027337;BE25-004911;WO073371;Released;2;prolazne rupe;Drawing;BX-2310;45953;Bohnenkamp Benelux BV;;648132;WB 7.00Ix12 H2 6/90/120 Ø13 ET20;White CP2012 CNH STARCO 1000@25;BIANCO LUCIDO;10;;0;10;0;0;10;10;0,166666667;;0;0,166666667;;1;0;10;10;45835;66,25;662,5
E-LINE;0;SO027738;BE25-001117;WO074752;Firm Planned;0;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;139630;WB 10.50Ix12 H2 5/96/140 Ø18.5 R14 ET-40;Silver RAL9006 STARCO 1500@16;RAL9006;80;;0;0;0;0;80;80;2,222222222;;2;0,222222222;2;1;0;80;80;45961;31,36;2508,8
E-LINE;0;SO027558;BE25-008194;WO074062;Released;1;prolazne rupe;Drawing;BX-2310;45953;Bohnenkamp Benelux BV;PRIO;579818;WB 4.00Ix12 H2 5/94/140 Ø17 ET40;Red RAL3000 STARCO 750@30;RAL3000;10;;0;0;0;0;10;10;0,119047619;;0;0,119047619;;1;0;10;10;45905;49,29;492,9
D-LINE;17;SO027337;BE25-004911;WO073374;Released;1;prolazne rupe;Drawing;BX-2310;45953;Bohnenkamp Benelux BV;;457192;WB DW11x24 6/135.3/170 Ø17 ET-51;White STARCO 1500@40;BIANCO LUCIDO;10;;0;0;0;0;10;10;1,666666667;;1;0,666666667;1;1;0;10;10;45835;289,56;2895,6
E-LINE;0;SO027515;BE25-000866;WO073895;Released;4;OC;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;111582;WB 10.50Ix12 H2 6/78.1/139.7 Ø15 C60 ET-20 RFH;VG3 Black RAL9005 KENDA 785@16;RAL9005;240;;189;240;-189;0;51;51;1,416666667;;1;0,416666667;1;1;0,7875;51;51;45929;0;0
G-LINE;0;SO027746;4501933788;WO074775;Released;1;OC;Drawing;AM-2310;45953;Ammann Czech Republic s.r.o.;;495118;WB 6Jx15 H2 5/93/140 Ø18.5 R14 ET-182.5;Black RAL9005 KENDA 775@110;RAL9005 (CP1013);4;;0;0;0;0;4;4;0,133333333;;0;0,133333333;;1;0;4;4;45933;163,75;655
G-LINE;0;SO027818;4501936633;WO074997;Released;1;OC;Drawing;AM-2310;45953;Ammann Czech Republic s.r.o.;;495118;WB 6Jx15 H2 5/93/140 Ø18.5 R14 ET-182.5;Black RAL9005 KENDA 775@110;RAL9005 (CP1013);2;;0;0;0;0;2;2;0,066666667;;0;0,066666667;;1;0;2;2;45954;163,75;327,5
F-LINE;0;SO027489;PO010343;WO073801;Released;1;CO Puncher;Drawing;DE-0910;45939;KENDA Deutschland GmbH;;559537;WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET0 RFH;VG7 Silver RAL9006 STARCO 3750@40;RAL9006;50;;0;0;0;0;50;50;5;;5;0;5;;0;50;50;45919;100,5;5025
MTM-SBM;0;SO027492;PO010339;WO073830;Released;0;OC;Drawing;DE-1410;45944;KENDA Deutschland GmbH;PRIO;163727;WB 8.25x19.5 H2 6/151/205 Ø26 R18 ET80;Grey RAL7042 STARCO 2750@60;RAL7042;12;;0;0;0;0;12;12;1;;1;0;1;;0;12;12;45919;124,8;1497,6
D-LINE;22;SO027541;PO010345;WO073995;Released;1;CO Puncher;Drawing;DE-1610;45946;KENDA Deutschland GmbH;;743523;WB W11x18 H2 8/221/275 Ø27 R18 ET30;Orange RAL2004  CP1108 STARCO 3800@20;RAL2004;60;;0;0;0;0;60;60;5;;5;0;5;;0;60;60;45919;84,96;5097,6
C-LINE;4;SO027489;PO010343;WO073806;Released;1;;Drawing;DE-2110;45951;KENDA Deutschland GmbH;;627397;WI GK 2.50Ax8 H2 30x100;TL Silver RAL9006 6006 2RS STARCO 345@20;RAL9006;75;;0;0;0;0;75;75;0,185185185;;0;0,185185185;;1;0;75;75;45919;16,66;1249,5
E-LINE;0;SO027476;PO010317;WO073761;Firm Planned;0;CO Puncher;Drawing;DE-1610;45946;KENDA Deutschland GmbH;PRIO;276403;WB 10.50Ix12 H2 4/85/130 Ø18.5 R14 ET-27;Silver RAL9006 STARCO 1100@40;RAL9006;260;;0;0;0;0;260;260;5,416666667;;5;0,416666667;5;1;0;260;260;45919;21,27;5530,2
E-LINE;0;SO027541;PO010345;WO074000;Firm Planned;0;OC;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;402475;WB 10.50Ix12 H2 6/161/205 Ø21.5 R16 ET-80;Silver RAL9006 STARCO 1000@40;RAL9006;16;;0;0;0;0;16;16;0,333333333;;0;0,333333333;;1;0;16;16;45919;74,19;1187,04
E-LINE;0;SO027488;PO010342;WO073794;Firm Planned;0;CO Puncher;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;422107;WB 10.50Ix12 H2 6/80/120 Ø16 R12 ET-50;Silver RAL9006 Avant Tecno 1150@40;RAL9006;50;;0;0;0;0;50;50;1,041666667;;1;0,041666667;1;1;0;50;50;45919;29,08;1454
E-LINE;0;SO027550;BE25-000762;WO074026;Released;1;OC;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;737942;WB 6.00Ix10 H2 4/60/100 Ø16 R12 ET-4;Silver RAL9006 KENDA 750@140;RAL9006;100;;100;100;0;100;100;0;1,041666667;;1;0,041666667;1;1;1;0;0;45891;20,33;2033
GS-LINE;0;SO027551;BE25-000695;WO074033;Released;1;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;704074;DU Wheel MD/HD DWW16Lx46/38K-350,0   309VSM;Silver RAL9006;RAL9006;4;;0;0;0;0;4;4;4;;4;0;4;;0;4;4;45891;565,2;2260,8
GS-LINE;0;SO027551;BE25-000695;WO074034;Firm Planned;1;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;714301;DU Wheel MD/HD DWW16Lx46/38K-350,0   309VSM;Yellow CP5001;JOHN DEERE YELLOW;2;;0;0;0;0;2;2;2;;2;0;2;;0;2;2;45891;565,2;1130,4
E-LINE;0;SO027491;PO010344;WO073815;Firm Planned;0;prolazne rupe;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;714721;WB 5JAx12 H2 5/93/140 Ø15 ET25;Silver RAL9006 STARCO 640@10;RAL9006;50;;0;0;0;0;50;50;0,595238095;;0;0,595238095;;1;0;50;50;45919;35,32;1766
G-LINE;0;SO027743;PO010395;WO074772;Released;1;prolazne rupe;Drawing;DE-2410;45954;KENDA Deutschland GmbH;;118758;WB 8.5LBx15 H2 10/94/140 Ø16.5 ET42;Silver RAL9006 KENDA 1685@16;RAL9006;2;;0;0;0;0;2;2;0,071428571;;0;0,071428571;;1;0;2;2;45919;92,51;185,02
G-LINE;0;SO027743;PO010395;WO074770;Released;1;prolazne rupe;Drawing;DE-2810;45958;KENDA Deutschland GmbH;;118741;WB 10LBx15 H2 10/93/140 Ø16.5 ET30;Silver RAL9006 KENDA 1800@10;RAL9006;2;;0;0;0;0;2;2;0,095238095;;0;0,095238095;;1;0;2;2;45919;91,7;183,4
E-LINE;0;SO027745;PO010488;WO074774;Firm Planned;0;CO Puncher;Drawing;DE-2810;45958;KENDA Deutschland GmbH;;639987;WB 8.50Ix12 H2 5/67/112 Ø18.5 R14 ET0;Silver RAL9006 STARCO 800@20;RAL9006;1;;0;0;0;0;1;1;0,020833333;;0;0,020833333;;1;0;1;1;45919;32,7;32,7
G-LINE;0;SO027743;PO010395;WO074771;Released;1;prolazne rupe;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;119298;WB 10.50Ix12 H2 10/93/140 Ø16.5 ET30;Silver RAL9006 KENDA 1685@16;RAL9006;2;;0;0;0;0;2;2;0,055555556;;0;0,055555556;;1;0;2;2;45919;70,85;141,7
E-LINE;0;SO027743;PO010395;WO074769;Firm Planned;0;prolazne rupe;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;118765;WB 7.00Ix12 H2 10/93/140 Ø16.5 ET50;Silver RAL9006 KENDA 975@10;RAL9006;2;;0;0;0;0;2;2;0,033333333;;0;0,033333333;;1;0;2;2;45919;57,44;114,88
A-LINE;13;SO027239;PO010120;WO073078;Released;1;;Drawing;DE-2410;45954;KENDA Deutschland GmbH;PRIO 4;437040;WI GK 2.50Ax8 17x120/110;TL Red RAL3002 6204 2RS STARCO @16;RAL3002;600;SAMO 50KOM - za 3.9;288;600;-288;0;312;312;1,95;;1;0,95;1;1;0,48;312;312;45920;8,86;2764,32
F-LINE;0;SO027472;PO010340;WO073738;Released;2;CO Puncher;Drawing;;;KENDA Deutschland GmbH;;357850;WB 13.00x17 H2 6/161/205 Ø21.5 R16 ET0;VG2 Silver RAL9006 STARCO 2360@40;RAL9006;50;;36;40;-36;0;14;14;0,933333333;;0;0,933333333;;1;0,72;14;14;45920;181,76;2544,64
F-LINE;0;SO027431;PO010170;WO073581;Released;3;prolazne rupe;Drawing;;;KENDA Deutschland GmbH;;729541;WB W11x20 H2 6/110/150 Ø17 ET-40;White RAL9001 STARCO 1400@50;RAL9001;52;;51;52;-51;0;1;1;0,083333333;;0;0,083333333;;1;0,980769231;1;1;45924;116,64;116,64
ROLL LINE;0;SO027204;PO010092;WO072943;Released;3;;Drawing;;;KENDA Deutschland GmbH;;112091;WB 7.00Ix12 H2 5/93/140 Ø15 ET-10 Silver RAL9006;AVANT TECNO 970@40 + VL TR412 Rubber Snap-In V2...;RAL9006;400;;300;0;-300;0;100;100;1,666666667;;1;0,666666667;1;1;0,75;100;100;45924;23,5;2350
C-LINE;0;SO027173;PO010089;WO072753;Released;1;;Drawing;DE-0710;45937;KENDA Deutschland GmbH;;161594;WI GK 7.00Ix8 H2 25x64/73 TL Orange RAL2002 6205;2RS C3 STARCO 375@20 + VL TR412 Rubber Snap-In ...;RAL2002;500;;0;500;0;0;500;500;4;;4;0;4;;0;500;500;45926;12,8;6400
E-LINE;0;SO027488;PO010342;WO073799;Firm Planned;0;prolazne rupe;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;477640;WB 10.50Ix12 H2 5/94/140 Ø16.5 ET-40;Silver RAL9006 STARCO 1680@16;RAL9006;50;;0;0;0;0;50;50;1,041666667;;1;0,041666667;1;1;0;50;50;45926;39;1950
GS-LINE;0;SO027559;BE25-000925;WO074064;Released;2;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;719689;DU Wheel MD/HD DWW16Lx46/38K-350,0   309VSM;Red CP5002;FENT TERRA RED;2;;0;0;0;0;2;2;2;;2;0;2;;0;2;2;45912;565,2;1130,4
E-LINE;0;SO027489;PO010343;WO073807;Firm Planned;0;CO Puncher;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;662633;WB 5Jx12 H2 5/67/112 Ø18.5 R14 ET20;Silver RAL9006 STARCO 487@40;RAL9006;70;;0;0;0;0;70;70;1,296296296;;1;0,296296296;1;1;0;70;70;45926;35,58;2490,6
E-LINE;0;SO027489;PO010343;WO073808;Firm Planned;0;CO Puncher;Drawing;DE-2810;45958;KENDA Deutschland GmbH;;682341;WB 8.50Ix10 H2 5/67/112 Ø16 R12 ET-4;Black RAL9005 STARCO 750@130;RAL9005;39;;0;0;0;0;39;39;0,609375;;0;0,609375;;1;0;39;39;45926;38,42;1498,38
E-LINE;0;SO027561;BE25-000748;WO074067;Released;1;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;104195;WB 7.00Ix10 H2 5/80/115 Ø15 C80 ET0;Silver RAL9006 STARCO 700@30;RAL9006;100;;100;100;0;100;100;0;1,25;;1;0,25;1;1;1;0;0;45898;21,56;2156
E-LINE;0;SO027562;BE25-000667;WO074068;Released;1;OC;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;119823;WB 10.50Ix12 H2 6/78.1/139.7 Ø15 C60 ET-20 RFH;VG3 Black CP2004 KENDA 785@16;RAL9005;50;;0;50;0;0;50;50;1,388888889;;1;0,388888889;1;1;0;50;50;45898;64,2;3210
E-LINE;0;SO027472;PO010340;WO073734;Firm Planned;0;prolazne rupe;Drawing;DE-2810;45958;KENDA Deutschland GmbH;;283104;WB 8.50Ix12 H2 4/85/130 Ø14.5 ET-22;Silver RAL9006 STARCO 1140@16;RAL9006;50;;0;0;0;0;50;50;1,041666667;;1;0,041666667;1;1;0;50;50;45926;28,08;1404
C-LINE;24;SO027491;PO010344;WO073816;Released;1;;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;721323;WI EK 5.00Ix10 H2 25x90/100;TL Red CP5002 6205 2RS STARCO 355@50;FENT TERRA RED;500;;0;0;0;0;500;500;3,968253968;;3;0,968253968;3;1;0;500;500;45926;13;6500
C-LINE;1;SO027738;BE25-001117;WO074757;Released;1;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;562636;WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0;VG3 Silver RAL9006 KENDA 375@140;RAL9006;50;;0;0;0;0;50;50;0,277777778;;0;0,277777778;;1;0;50;50;45961;17,72;886
E-LINE;0;SO027662;BE25-001006;WO074477;Released;2;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;680446;WB 10.50Ix12 H2 4/60/100 Ø15 C60 ET-20;VG2 Silver RAL9006 STARCO 785@16;RAL9006;100;;0;100;0;0;100;100;2,777777778;;2;0,777777778;2;1;0;100;100;45933;31,36;3136
E-LINE;0;SO027560;BE25-000798;WO074065;Released;2;OC;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;491226;WB 8.00Ix12 H2 4/56/110 Ø12.5 C60 ET18;VG3 Silver RAL9006 STARCO 350@100;RAL9006 HIGH GLOSS;70;;0;0;0;0;70;70;1,458333333;;1;0,458333333;1;1;0;70;70;45912;30,38;2126,6
E-LINE;0;SO027498;BE25-000775;WO073846;Released;2;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;PRIO;493114;WB 8.50Ix12 H2 4/60/100 Ø14 C60 ET0;VG2 Silver RAL9006 CP2006 STARCO 1140@16;RAL9006;50;;0;0;0;0;50;50;1,041666667;;1;0,041666667;1;1;0;50;50;45919;43,48;2174
GS-LINE;0;SO027569;BE25-001045;WO074681;Released;2;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;120164;DU Wheel MD/HD DWW16Lx46/42K-340,0  DTS   300VSM;Silver RAL9006;RAL9006;2;;0;0;0;0;2;2;2;;2;0;2;;0;2;2;45912;587,25;1174,5
GS-LINE;0;SO027569;BE25-001045;WO074682;Released;1;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;120348;DU Wheel MD/HD DWW16Lx46/42K-340,0  DTS   300VSM;Yellow CP5001;JOHN DEERE YELLOW;2;;0;0;0;0;2;2;2;;2;0;2;;0;2;2;45912;587,25;1174,5
GS-LINE;0;SO027569;BE25-001045;WO074683;Released;1;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;120355;DU Wheel MD/HD DWW16Lx46/42K-340,0  DTS   300VSM;White CP2012;BIANCO LUCIDO;2;;0;0;0;0;2;2;2;;2;0;2;;0;2;2;45912;587,25;1174,5
GS-LINE;0;SO027569;BE25-001045;WO074684;Released;1;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;120379;DU Wheel MD/HD DWW16Lx46/42K-340,0  DTS   300VSM;Grey CP2014;GREY;2;;0;0;0;0;2;2;2;;2;0;2;;0;2;2;45912;587,25;1174,5
B-LINE;0;SO027738;BE25-001117;WO074754;Released;1;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;139968;WB 2.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 345@130;RAL9006;300;;0;80;0;0;300;300;0,854700855;;0;0,854700855;;1;0;300;300;45961;6;1800
A-LINE;0;SO027738;BE25-001117;WO074755;Firm Planned;0;;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;736167;WI EK 2.50Ax8 25x44,7/63;TL Orange RAL2004 60052RS STARCO 300@16;RAL2004;200;;0;0;0;0;200;200;0,533333333;;0;0,533333333;;1;0;200;200;45961;11,41;2282
B-LINE;0;SO027738;BE25-001117;WO074756;Released;1;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;309255;WB 5.50Ax8 H2 5/80/115 Ø14.5 C60 ET0;Silver RAL9006 STARCO 500@20;RAL9006;200;;0;200;0;0;200;200;1,142857143;;1;0,142857143;1;1;0;200;200;45961;10,78;2156
G-LINE;0;SO027736;BE25-001130;WO074710;Released;1;CO Puncher;Drawing;BKAS-1710;45947;BOHNENKAMP A/S;;141374;WB AG6.75x14.5 H2 5/102/140 Ø18.5 R14 ET0;Silver RAL9006 STARCO 1225@16;RAL9006;50;;0;0;0;0;50;50;1,111111111;;1;0,111111111;1;1;0;50;50;45954;43,1;2155
G-LINE;0;SO027670;4501922231;WO074500;Released;1;OC;Drawing;AM-2310;45953;Ammann Czech Republic s.r.o.;;645544;WB W8x16 5/93/140 Ø18.5 R14 ET151.5;Black RAL9005 KENDA 600@10;RAL9005;16;;0;0;0;0;16;16;0,666666667;;0;0,666666667;;1;0;16;16;45954;141,25;2260
G-LINE;0;SO027670;4501922231;WO074501;Released;1;OC;Drawing;AM-2310;45953;Ammann Czech Republic s.r.o.;;645544;WB W8x16 5/93/140 Ø18.5 R14 ET151.5;Black RAL9005 KENDA 600@10;RAL9005;4;;0;0;0;0;4;4;0,166666667;;0;0,166666667;;1;0;4;4;45954;141,25;565
G-LINE;0;SO027684;4501923932;WO074578;Released;1;OC;Drawing;AM-2310;45953;Ammann Czech Republic s.r.o.;;645544;WB W8x16 5/93/140 Ø18.5 R14 ET151.5;Black RAL9005 KENDA 600@10;RAL9005;16;;0;0;0;0;16;16;0,666666667;;0;0,666666667;;1;0;16;16;45954;141,25;2260
G-LINE;0;SO027732;4501929945;WO074702;Released;1;OC;Drawing;AM-2310;45953;Ammann Czech Republic s.r.o.;;645544;WB W8x16 5/93/140 Ø18.5 R14 ET151.5;Black RAL9005 KENDA 600@10;RAL9005;12;;0;0;0;0;12;12;0,5;;0;0,5;;1;0;12;12;45954;141,25;1695
G-LINE;0;SO027888;4501941436;WO075205;Firm Planned;0;;Drawing;AM-2310;45953;Ammann Czech Republic s.r.o.;;495118;WB 6Jx15 H2 5/93/140 Ø18.5 R14 ET-182.5;Black RAL9005 KENDA 775@110;RAL9005 (CP1013);2;;0;0;0;0;2;2;0,066666667;;0;0,066666667;;1;0;2;2;45940;163,75;327,5
E-LINE;0;SO027111;BE25-002504;WO072533;Released;2;CO Puncher;Drawing;SE-2410;45954;BOHNENKAMP SE;PRIO;374680;WB 6.00Ix10 H2 5/67/112 Ø16 C60 ET25;Silver RAL9006 KENDA 750@140;RAL9006;100;;100;100;0;100;100;0;1,041666667;;1;0,041666667;1;1;1;0;0;45856;27,91;2791
E-LINE;0;SO027685;BE25-010150;WO074579;Released;1;CO Puncher;Drawing;SE-2410;45954;BOHNENKAMP SE;PRIO;273556;WB 10.50Ix12 H2 4/60/100 Ø15 C60 ET-40;Silver RAL9006 STARCO 785@16;RAL9006;80;;0;0;0;0;80;80;1,666666667;;1;0,666666667;1;1;0;80;80;45947;45,03;3602,4
E-LINE;0;SO027701;PO010192;WO074650;Firm Planned;0;CO Puncher;Drawing;PL-2410;45954;KENDA Polska Sp. z.o.o.;;139623;WB 10.50Ix12 H2 5/94/140 Ø18.5 R14 ET0;Silver RAL9006 STARCO 1685@16;RAL9006;150;;0;0;0;0;150;150;3,125;7,142857143;3;0,125;;8;0;150;150;45961;33,45;5017,5
E-LINE;0;SO027460;BE25-006213;WO073697;Released;1;CO Puncher;Drawing;SE-2410;45954;BOHNENKAMP SE;PRIO;689845;WB 4.5Jx12 H2 5/110/160 Ø18.5 R14 ET0;VG2 Silver RAL9006 STARCO 690@40;RAL9006;50;;0;0;0;0;50;50;0,520833333;;0;0,520833333;;1;0;50;50;45898;36,79;1839,5
E-LINE;0;SO026067;PO004548;WO075152;Firm Planned;0;CO Puncher;Drawing;GB-2410;45954;KENDA GB Rugeley Ltd;;613444;WB 6.00Ix10 H2 4/67/101.6 Ø12.5 R11 ET-3;White RAL9003 KENDA 425@140;RAL9003;1;;0;0;0;0;1;1;0,010416667;;0;0,010416667;;1;0;1;1;45680;15,93;15,93
