Line;seq;SO;Ext.order;WO;Status;print;obrada;Drawings;Truck;Truck date;CUSTOMER;Customer comment;EAN;DESCRIPTION;DESCRIPTION2;Color;QTY;Reason - comment;Nav Painted;WELDED;SHIPPED;STOCK;REST;TBP;logic palet 1;logic palet 2;logic palet 3;logic palet 4;BIG;EURO;PROGRESS;calc;Rest2;EX.SHIP DATE;Unit price;Rest price
D-LINE;16;SO027274;PO010159;WO073210;Released;1;CO Puncher;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;719719;WB AG24.00x22.5 H2 8/221/275 Ø27 R18 ET-50;VG3 Silver RAL9006 STARCO 5600@50;RAL9006;40;;0;0;0;0;40;40;10;;10;0;10;;0;40;40;45856;158,32;6332,8
E-LINE;0;SO027407;PO010156;WO073509;Firm Planned;0;CO Puncher;Drawing;DE-2410;45954;KENDA Deutschland GmbH;;422152;WB 7.00Ix12 H2 6/80/120 Ø16 R12 ET-4;Silver RAL9006 Avant Tecno 1030@40;RAL9006;40;;0;0;0;0;40;40;0,666666667;;0;0,666666667;;1;0;40;40;45856;24,78;991,2
A-LINE;12;SO027407;PO010156;WO073504;Released;1;;Drawing;DE-2410;45954;KENDA Deutschland GmbH;PRIO S;367545;WI GK 2.50Ax8 14,2x96/89,8;TL Silver RAL9006 Flange bearing STARCO 250@16;RAL9006;2000;1050 KOM PRIO;0;0;0;0;2000;2000;4,938271605;;4;0,938271605;4;1;0;2000;2000;45856;4,36;8720
A-LINE;0;SO027303;PO010201;WO073299;Released;1;;Drawing;DE-2810;45958;KENDA Deutschland GmbH;;506364;WI GK 2.50Ax8 14,2x96/89,8 TL Silver RAL9006;Flange bearing STARCO 235@20 + VL TR412 Rubber ...;RAL9006;1000;;0;0;0;0;1000;1000;2,469135802;;2;0,469135802;2;1;0;1000;1000;45856;4,86;4860
C-LINE;23;SO027346;PO010212;WO073418;Released;1;;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;721323;WI EK 5.00Ix10 H2 25x90/100;TL Red CP5002 6205 2RS STARCO 355@50;FENT TERRA RED;250;;0;0;0;0;250;250;1,984126984;;1;0,984126984;1;1;0;250;250;45856;13;3250
E-LINE;0;SO027274;PO010159;WO073206;Firm Planned;0;CO Puncher;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;678986;WB 7.00Ix10 H2 4/60/100 Ø16 R12 ET-14;Silver RAL9006 STARCO 530@20;RAL9006;72;;0;0;0;0;72;72;0,9;;0;0,9;;1;0;72;72;45856;20,65;1486,8
E-LINE;0;SO027274;PO010159;WO073202;Firm Planned;0;CO Puncher;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;618241;WB 7.00Ix10 H2 4/60/101.6 Ø14.5 C60 ET20;Black RAL9005 STARCO 660@16;RAL9005;40;;0;0;0;0;40;40;0,5;;0;0,5;;1;0;40;40;45856;29,91;1196,4
A-LINE;0;SO027303;PO010201;WO073300;Released;1;;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;506364;WI GK 2.50Ax8 14,2x96/89,8 TL Silver RAL9006;Flange bearing STARCO 235@20 + VL TR412 Rubber ...;RAL9006;1000;;0;0;0;0;1000;1000;2,469135802;;2;0,469135802;2;1;0;1000;1000;45856;4,86;4860
E-LINE;0;SO027407;PO010156;WO073507;Released;1;CO Puncher;Drawing;;;KENDA Deutschland GmbH;PRIO 6;409702;WB 7.00Ix10 H2 5/80/114.3 Ø15 C80 ET-2;Grey RAL9023 STARCO 800@30;RAL9023;96;;93;96;-93;0;3;3;0,0375;;0;0,0375;;1;0,96875;3;3;45856;22,91;68,73
ROLL LINE;0;SO027204;PO010092;WO072942;Firm Planned;0;;Drawing;;;KENDA Deutschland GmbH;;112084;WB 10.50Ix12 H2 10/93/140 Ø15 - ET-50 Silver;RAL9006 AVANT TECNO 1150@25 + VL TR412 Rubber S...;RAL9006;600;;0;0;0;0;600;600;16,66666667;;16;0,666666667;16;1;0;600;600;45856;27,78;16668
E-LINE;0;SO027174;PO010088;WO072756;Released;3;;Drawing;;;KENDA Deutschland GmbH;PRIO 4;143941;WB 10.50Ix12 H2 5/79.5/114.3 Ø12 C75 ET-25 Orange;CP1031 STARCO 600@40 + VL TR413 Rubber Snap-In ...;KUBOTA ORANGE;100;;70;78;-70;0;30;30;0,833333333;;0;0,833333333;;1;0,7;30;30;45861;41,41;1242,3
G-LINE;0;SO027432;PO010139;WO073594;Released;1;prolazne rupe;Drawing;DE-0710;45937;KENDA Deutschland GmbH;;108179;WB 7Jx16 H2 6/161/205 Ø18.5 ET83;Silver RAL9006 KENDA 1650@65;RAL9006;64;;63;64;0;63;64;1;2,133333333;;2;0,133333333;2;1;0,984375;1;1;45863;61,22;3918,08
ROLL LINE;0;SO027432;PO010139;WO073595;Firm Planned;1;;Drawing;;;KENDA Deutschland GmbH;;112084;WB 10.50Ix12 H2 10/93/140 Ø15 - ET-50 Silver;RAL9006 AVANT TECNO 1150@25 + VL TR412 Rubber S...;RAL9006;650;;0;0;0;0;650;650;18,05555556;;18;0,055555556;18;1;0;650;650;45863;27,78;18057
ROLL LINE;0;SO027432;PO010139;WO073596;Firm Planned;0;;Drawing;;;KENDA Deutschland GmbH;;112091;WB 7.00Ix12 H2 5/93/140 Ø15 ET-10 Silver RAL9006;AVANT TECNO 970@40 + VL TR412 Rubber Snap-In V2...;RAL9006;600;;0;0;0;0;600;600;10;;10;0;10;;0;600;600;45863;23,5;14100
ROLL LINE;0;SO027555;PO010318;WO074039;Released;2;;Drawing;;;KENDA Deutschland GmbH;;118789;WB 7.00Ix12 H2 10/93/140 Ø16.5 ET20;Silver RAL9006 KENDA 975@10;RAL9006;4;;0;0;0;0;4;4;0,066666667;;0;0,066666667;;1;0;4;4;45863;28,61;114,44
