date-time;Work Order;Item no.;No.;Qty;Description;Customer code;Customer
(blank);WO071401;596884;ROLLING-LINE;0;DU Spacer Standard 28-170,0;1000404;KENDA Schweiz AG
(blank);WO071402;112909;GS-LINE;0;DU Spacer Stepped 42/38-250,0;;
(blank);WO071402;559148;GS-STEP SPACER;0;DU Spacer Stepped 42/38-250,0;;
(blank);WO071403;112848;G-LINE;0;WB 6Jx15 H2 6/100/139.7 Ø16 60 ET30;1000104;KENDA België NV
(blank);WO071404;494876;ROLLING-LINE;0;DU Spacer Emc2 38-335;;
(blank);WO071404;681412;GS-LINE;0;DU Spacer Emc2 38-335;;
(blank);WO071405;111414;GS-SOK;0;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071405;336640;G-LINE;0;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071406;457024;G-LINE;0;RM 13LBx15 H2;1002411;Franz Trinker Räderproduktion GmbH
(blank);WO071413;565217;SPIN;0;DU Spacer Stepped 46/38K-300;;
(blank);WO071413;708690;GS-LINE;0;DU Spacer Stepped 46/38K-300;;
(blank);WO071414;102672;E-LINE;0;WB 3.50Bx10 H2 4/60/100 Ø16 C105 ET38;1000404;KENDA Schweiz AG
(blank);WO071415;102672;E-LINE;0;WB 3.50Bx10 H2 4/60/100 Ø16 C105 ET38;1000404;KENDA Schweiz AG
(blank);WO071416;112701;ROLLING-LINE;0;DU AW Spacer Standard 32-200,0;1000404;KENDA Schweiz AG
(blank);WO071417;112725;GS-LINE;0;DU Spacer Standard 42-200;;
(blank);WO071417;623368;ROLLING-LINE;0;DU Spacer Standard 42-200;;
(blank);WO071418;436531;G-LINE;0;RM 5.50Fx18;1000404;KENDA Schweiz AG
(blank);WO071418;662794;GS-SOK;0;RM 5.50Fx18;1000404;KENDA Schweiz AG
(blank);WO071419;583952;GS-LINE;0;DU Spacer Stepped 32/24-170;;
(blank);WO071424;155609;GS-LINE;0;DU Spacer Stepped 40/34K-300;;
(blank);WO071424;559117;GS-STEP SPACER;0;DU Spacer Stepped 40/34K-300;;
(blank);WO071426;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071426;630830;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071434;632124;C-LINE;0;WI EK 4.50Ax6 H2 20,1x89,4/82,2 TL CP1083 559100;;
(blank);WO071436;632155;B-LINE;0;WI EPL 7.00Ix8 H2 19,2x106 TL CP1083 STARCO;;
(blank);WO071437;632155;B-LINE;0;WI EPL 7.00Ix8 H2 19,2x106 TL CP1083 STARCO;;
(blank);WO071444;471211;B-LINE;0;WI GPL 5.50Ax8 H2 19,1x89,5 TL Silver RAL9006;1000108;KENDA Polska Sp. z.o.o.
(blank);WO071458;514697;B-LINE;0;WB 4.375Ax8 H2 3/62/100 Ø11.5 C60 ET0 Grey CP1066;1002435;STIGA S.p.A.
