MAIN BOM;No.;Description;Quantity per;Link;Draw
100951;ST0117;COIL H.R. 3,0X336 mm   EN10051 P&O;3.90;;
100999;262338;Valve guard VG2;1.00;VG2_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG2_BM.pdf
100999;504575;RM DWW15Lx38;1.00;;
100999;726779;DU Spacer Stepped 38/34K-300,0;1.00;62R380104_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R380104_BM.pdf
100999;CP5002;POWDER Terra Red TGIC-frei ;0.95;;
101521;547541;RM W10x48;1.00;;
101521;559377;"DU Spacer 48,0""/48,0"" x 45,0mm Standard";1.00;559377_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\559377_BM.pdf
101521;672090;DU Spacer Standard 48-175;1.00;62R480032_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R480032_BM.pdf
101521;CP1064;POWDER RAL3020 RED;0.72;;
101538;525662;DU Spacer Standard 32-170;1.00;62R320013_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R320013_BM.pdf
101538;559285;"DU Spacer 32,0""/32,0"" x 45mm Standard";1.00;559285_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\559285_BM.pdf
101538;575100;RM W8x32;1.00;;
101538;CP1064;POWDER RAL3020 RED;0.47;;
102061;579542;RM W10x42;1.00;;
102061;607818;Valve guard VG9;1.00;;
102061;61S4200042;WD Formed T-mount 15mm  Ø1040,0-Ø1018,1mm;1.00;DPC61S4200042;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S4200042.pdf
102061;62M10031;DU Driving lug 12X50X60;1.00;62M10031_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62M10031_BM.pdf
102061;CP1077;POWDER RAL9018 WHITE;0.75;;
102078;486260;RM DWW23Bx42;1.00;;
102078;604718;WD Formed T-mount 15mm  Ø980,0-Ø967,3mm;1.00;61S4000009_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S4000009_BM.pdf
102078;607818;Valve guard VG9;1.00;;
102078;CP1017;POWDER RAL9001 CREAM;1.18;;
102191;525051;DU Spacer Standard 20-200,0;1.00;62R200003_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R200003_BM.pdf
102191;62M10012;Stop ring segment 18x18x100;6.00;62M10012_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62M10012_BM.pdf
102191;645452;RM W10x20 H2;1.00;645452_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\645452_BM.pdf
102191;646503;DU Clamp ring 20-45;1.00;CR110_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\CR110_BM.pdf
102191;CP2014;POWDER GRIGIO PE 5220 (4M8071);0.32;;
102207;62R320070;"32"" GS RING";1.00;;
102214;262345;Valve guard VG3;1.00;VG3_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG3_BM.pdf
102214;60130180S09;RIM 13,00X18 H2 (6,0MM);1.00;60130180S09-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60130180S09-2.pdf
102214;61S1800023;"18"" GS DISC 6/205/161 Ø21,5mm";1.00;DPC61S1800023;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S1800023.pdf
102214;CP1088;POWDER GREY MET 9006 RESIST;0.27;;
102221;102207;DU Spacer Stepped 32/28-240,0;1.00;62R320070_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R320070_BM.pdf
102221;545493;RM W10x32;1.00;;
102221;559285;DU Clamp ring 32-45;1.00;559285_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\559285_BM.pdf
102221;CP2014;POWDER GRIGIO PE 5220 (4M8071);0.61;;
102269;491028;RM DWW20Bx38;1.00;;
102269;607818;Valve guard VG9;1.00;;
102269;61S3600163;WD Formed T-mount 15mm  Ø880,0-Ø865,7 mm;1.00;DPC61S3600163;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S3600163.pdf
102269;CP1015;POWDER RAL1015 LIGHT IVORY;0.95;;
102351;103051;RM 6Jx13 H2;1.00;;
102351;61S1300015;WD Plug-fit 6/180/130;1.00;DPC61S1300015;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S1300015.pdf
102351;CP1088;POWDER GREY MET 9006 RESIST;0.14;;
102368;633053;Precision B/Bearing 6306 2RS-30,0x72,0x19,0;2.00;;
102368;DT0108;DISTANCE TUBE fi 35/31X54;1.00;DT0108;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DT0108.pdf
102368;HT10166;HUB TUBE r80/65X102;1.00;HT10166;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT10166.pdf
102368;ST0115;COIL H.R. 2,5X330 mm   EN10051 P&O;3.56;;
102436;494791;DU Spacer Emc2 34K-335;1.00;62R340004_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R340004_BM.pdf
102436;595948;RM DWW23Bx34;1.00;;
102436;CP1056;POWDER RAL2002 VERMILION;1.09;;
