MAIN BOM;No.;Description;Quantity per;Link;Draw
468280;61P1700044;"DISC,17""PRES,6/205/161";1.00;DPC61P1700044;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1700044.pdf
468280;CP1016;POWDER RAL2004 PURE ORANGE;0.26;;
468310;262338;Valve guard VG2;1.00;VG2_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG2_BM.pdf
468310;60090153S01;RIM 9,00X15,3 H2 (5,0MM);1.00;60090153S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60090153S01-2.pdf
468310;61P1500011;"DISC,15""PRES,5/140/94";1.00;DPC61P1500011;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1500011.pdf
468310;CP1016;POWDER RAL2004 PURE ORANGE;0.31;;
468341;198514;Precision B/Bearing 6205 2RS-25,0x52,0x15,0;2.00;;
468341;CP1088;POWDER GREY MET 9006 RESIST;0.03;;
468341;DT0036;DISTANCE TUBE fi 30/26X23;1.00;DT0036;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DT0036.pdf
468341;HT10071;HUB TUBE r57/47X53,0;1.00;HT10071;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT10071.pdf
468341;ST0103;COIL H.R. 2,0X244 mm   EN10051 P&O;1.42;;
468402;60070140S02;RIM 7,00JX14 H2 (4,5MM);1.00;60070140S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60070140S02-2.pdf
468419;60070150S04;RIM 7,00JAX15 H2 (4MM);1.00;60070150S04-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60070150S04-2.pdf
468433;60100150S02;RIM 10,00LBX15 H2 (4,0MM);1.00;60100150S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60100150S02-2.pdf
468495;60130150S02;RIM 13,00LBX15 H2 (4,0MM);1.00;60130150S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60130150S02-2.pdf
468525;60110160S01;RIM 11,00WX16 H2 (4,0MM);1.00;60110160S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60110160S01-2.pdf
468556;60060150S01;RIM 6,00JX15 H2 (3MM);1.00;60060150S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60060150S01-2.pdf
468556;61P1500192;"DISC,15""PRES,5/140/94";1.00;DPC61P1500192;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1500192.pdf
468556;CP1088;POWDER GREY MET 9006 RESIST;0.14;;
468914;60105120S02;RIM 10,50IX12 H2 (3,0mm);1.00;60105120S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60105120S02-2.pdf
468914;61P1200052;"DISC,12""PRES,5/140/94";1.00;DPC61P1200052;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1200052.pdf
468914;CP1019;POWDER RAL9010 PURE WHITE;0.13;;
468976;262345;Valve guard VG3;1.00;VG3_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG3_BM.pdf
468976;60075195S01;RIM 7,50X19,5 H2 (5,0MM);1.00;60075195S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60075195S01-2.pdf
468976;61P1950005;"DISC,19,5"" PRES 8/275/221";1.00;DPC61P1950005;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1950005.pdf
468976;CP1088;POWDER GREY MET 9006 RESIST;0.23;;
469201;60160170S03;RIM 16,00X17 H2 (5,0MM);1.00;60160170S03-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60160170S03-2.pdf
469201;61P1700011;"DISC,17""PRES,6/205/161";1.00;DPC61P1700011;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1700011.pdf
469201;CP1056;POWDER RAL2002 VERMILION;0.56;;
469645;262338;Valve guard VG2;1.00;VG2_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG2_BM.pdf
469645;60160225S08;RIM 16,00X22,5 No hump (6,0MM);1.00;60160225S08-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60160225S08-2.pdf
469645;61P2250002;"DISC,22,5""PLUG 10/335/281";1.00;DPC61P2250002;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P2250002.pdf
469645;CP1088;POWDER GREY MET 9006 RESIST;0.39;;
469652;60130150S02;RIM 13,00LBX15 H2 (4,0MM);1.00;60130150S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60130150S02-2.pdf
469652;61P1500166;"15"" PLUGGED DISC 6/152,4/117,5";1.00;DPC61P1500166;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1500166.pdf
469652;CP1088;POWDER GREY MET 9006 RESIST;0.19;;
469676;60070120S02;RIM 7,00IX12 H2 (3,0MM);1.00;60070120S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60070120S02-2.pdf
469676;61P1200171;"DISC,12""PRES,5/160/110";1.00;DPC61P1200171;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1200171.pdf
469676;CP1088;POWDER GREY MET 9006 RESIST;0.11;;
469768;60110160S01;RIM 11,00WX16 H2 (4,0MM);1.00;60110160S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60110160S01-2.pdf
469768;61P1600094;"DISC,16"" PRES,6/205/161";1.00;DPC61P1600094;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1600094.pdf
469768;CP1056;POWDER RAL2002 VERMILION;0.37;;
469836-1;153155;TB 16x6.50-8 TR13 Deli;1.00;;
469836-1;358192;Push Fit - Inside Hub Cap Steel 52,2mm  STARCO;1.00;;
469836-1;360102;TY 16x9.50-8 76A6 (6PR) TT;1.00;;
469836-1;385310;WI EK 7.00Ax8 H2 30x92/102;1.00;WP-080-070-033_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-070-033_BM.pdf
469843-1;358192;Push Fit - Inside Hub Cap Steel 52,2mm  STARCO;1.00;;
469843-1;385310;WI EK 7.00Ax8 H2 30x92/102;1.00;WP-080-070-033_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-070-033_BM.pdf
469843-1;393544;SE 16x9.50-8 76B (6PR) Set E TR13;1.00;;
469850-1;126289;TB 10.0/80-12 TR15 STARCO;1.00;;
469850-1;325859;TY 10.0/80-12 120A8 (10PR) TL E;1.00;;
469850-1;469676;WB 7Ix12 H2 5/110/160 Ø18.5 R14 ET-30;1.00;P120-070-163-STR_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\P120-070-163-STR_BM.pdf
469881;60200225S03;RIM AG20,0X22,5 H2 (6,0MM);1.00;60200225S03-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60200225S03-2.pdf
469898;60280305S02;RIM AG28,0X30,5 H2 (6,0MM);1.00;60280305S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60280305S02-2.pdf
469911-1;129099;TY 23x8.50-12 92A4 (6PR) TL E;1.00;;
469911-1;134826;VL TR413 Rubber Snap-In;1.00;;
469911-1;334929;WB 7.00Ix12 H2 4/60/100 Ø18.5 R14 ET-27;1.00;W120-070-101-STR_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\W120-070-101-STR_BM.pdf
470108-1;134826;VL TR413 Rubber Snap-In;1.00;;
470108-1;295930;WB 7.00Ix12 H2 5/110/160 Ø18.5 R14 ET-25;1.00;W120-070-134-STR_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\W120-070-134-STR_BM.pdf
470108-1;325859;TY 10.0/80-12 120A8 (10PR) TL E;1.00;;
470122;60068145S02;RIM 6,75x14,5 H2 (4,0MM);1.00;60068145S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60068145S02-2.pdf
470122;61P1400044;"DISC,14""PRES 5/112/66,5";1.00;DPC61P1400044;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1400044.pdf
470122;CP1088;POWDER GREY MET 9006 RESIST;0.12;;
470146-1;260105;WB 3.00D-8 5/94/140 Ø18 R14 ET0;1.00;;
470146-1;310022;SE 15x4 1/2-8 12PR Set JS2;1.00;;
470160;60130170S02;RIM 13,00X17 H2 (5,0MM);1.00;60130170S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60130170S02-2.pdf
470160;61P1700046;"DISC,17""PRES,6/205/161";1.00;DPC61P1700046;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1700046.pdf
470160;CP2010;POWDER RAL7042 GRAY;0.25;;
470184;TU2000;TUBE r40 full material;0.27;;
470191;TU2000;TUBE r40 full material;0.23;;
470207;TU2000;TUBE r40 full material;0.24;;
470214;TU2000;TUBE r40 full material;0.26;;
470269;260532;GREASE NIPPLE H1 M6X1 L500/K DIN71412;1.00;;
470269;261300;Precision B/Bearing 6206 No seals/sheilds-30,0x...;1.00;;
470269;262338;Valve guard VG2;1.00;VG2_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG2_BM.pdf
470269;336138;Sealing Washer Steel 35,0x62,0x6,00 &nbsp Zinc ...;2.00;;
470269;464176;Screw Hub Cap Steel 62x1,3x30,0 Ø62,0;1.00;;
470269;470184;Stub Axle 40x265 EK 6305-6206-35Z;1.00;470184;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\470184.pdf
470269;539775;Precision B/Bearing 6305 No seals/sheilds-25,0x...;1.00;;
470269;CP1088;POWDER GREY MET 9006 RESIST;0.12;;
470269;DT0034;DISTANCE TUBE fi 35/31X64;1.00;DT0034;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DT0034.pdf
470269;HT10061;HUB TUBE r70/58X120;1.00;HT10061;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT10061.pdf
470269;IN110007;LOCK NUTT WASHER M16;1.00;;
470269;IN110086;Hex-Lock Nut M16 DIN985 ;1.00;;
470269;ST4064;STEEL H.R. 3,0X1250X1185 P&O;9.25;;
470306-1;127729;TB 5.00-8 TR13 STARCO;1.00;;
470306-1;277363;WI GK 3.00Dx8 35x68;1.00;277363_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\277363_BM.pdf
470306-1;325545;TY 5.00-8 112A2 (6PR) TT;1.00;;
470412;198514;Precision B/Bearing 6205 2RS-25,0x52,0x15,0;2.00;;
470412;CP1088;POWDER GREY MET 9006 RESIST;0.06;;
470412;DT0048;DISTANCE TUBE fi 30/26X57,0;1.00;DT0048;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DT0048.pdf
470412;HT10081;HUB TUBE r57/47X101,0;1.00;HT10081;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT10081.pdf
470412;ST1005;COIL H.R. 2,0X313 mm   EN10051 P&O;2.36;;
470481;470481_NG;DU Hook Spindle HD - AW 845mm NG;1.00;62G32011_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62G32011_BM.pdf
470481_NG;TU4004;19MnB4+C /1.5523  Ø18,86mm h9 mm Spindle material;0.93;;
470504;470504_NG;DU Headspindle HD/AW+ 950mm NG;1.00;62G34010_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62G34010_BM.pdf
470504_NG;TU4002;42CrMo4+A+C+PL/1.7225  Ø18,86mm h9 mm Spindle Mat;1.00;;
470641;361482;Valve guard VG7;1.00;;
470641;60160225S02;RIM 16,00X22,5 H2 (6,0MM);1.00;60160225S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60160225S02-2.pdf
470641;61P2250008;"DISC,22,5""PLUG,5/205/161";1.00;DPC61P2250008;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P2250008.pdf
470641;CP1056;POWDER RAL2002 VERMILION;0.79;;
470757-1;134840;VL TR415 Rubber Snap-In;1.00;;
470757-1;266466;WB AG13.00x15.5 H2 6/161/205 Ø21.5 R16 ET-15;1.00;W155-130-005-STR_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\W155-130-005-STR_BM.pdf
470757-1;270296;TY 400/60-15.5 145A8 (14PR) TL E;1.00;;
470764-1;134840;VL TR415 Rubber Snap-In;1.00;;
470764-1;266466;WB AG13.00x15.5 H2 6/161/205 Ø21.5 R16 ET-15;1.00;W155-130-005-STR_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\W155-130-005-STR_BM.pdf
470764-1;270296;TY 400/60-15.5 145A8 (14PR) TL E;1.00;;
470795;60110200S02;RIM 11,00X20 H2 (5,0MM);1.00;60110200S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60110200S02-2.pdf
470795;61P2000028;"20"" PLUGGED DISC 8/275/221";1.00;DPC61P2000028;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P2000028.pdf
470795;CP1007;POWDER RAL7021 BLACK GREY;0.27;;
470917;134819;VL TR412 Rubber Snap-In;1.00;;
470917;261171;Needle (Roller) bearing 20,0x30x55;1.00;;
470917;472027;Retainer 21,0x30,0-8,0mm Fitting Length 6,5;2.00;;
470917;CP1088;POWDER GREY MET 9006 RESIST;0.06;;
470917;HT0098;HUB TUBE t34/30,2X70,0;1.00;HT0098;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT0098.pdf
470917;ST1005;COIL H.R. 2,0X313 mm   EN10051 P&O;2.36;;
470917-1;134819;VL TR412 Rubber Snap-In;1.00;;
470917-1;466736;WI ER 5.50Ax8 H2 20x86/70;1.00;WP-080-055-047_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-055-047_BM.pdf
470948;60090153S01;RIM 9,00X15,3 H2 (5,0MM);1.00;60090153S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60090153S01-2.pdf
470948;61P1500167;"15"" SQUARE DISC 6/205/161";1.00;DPC61P1500167;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1500167.pdf
470948;CP1088;POWDER GREY MET 9006 RESIST;0.19;;
471013;60130170S02;RIM 13,00X17 H2 (5,0MM);1.00;60130170S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60130170S02-2.pdf
471013;61P1700045;"DISC,17""PRES,6/205/161";1.00;DPC61P1700045;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1700045.pdf
471013;CP2010;POWDER RAL7042 GRAY;0.22;;
471075;60065150S03;RIM 6,50JX15 H2 (3,0MM);1.00;60065150S03-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60065150S03-2.pdf
471075;61P1500168;"15"" PLUGGED DISC 6/205/161";1.00;DPC61P1500168;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1500168.pdf
471075;CP1088;POWDER GREY MET 9006 RESIST;0.14;;
471082;262345;Valve guard VG3;1.00;VG3_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG3_BM.pdf
471082;60160225S02;RIM 16,00X22,5 H2 (6,0MM);1.00;60160225S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60160225S02-2.pdf
471082;61P2250009;"DISC 22,5""PLUG 8/275/221";1.00;DPC61P2250009;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P2250009.pdf
471082;CP1088;POWDER GREY MET 9006 RESIST;0.39;;
471174;134819;VL TR412 Rubber Snap-In;1.00;;
471174;CP1088;POWDER GREY MET 9006 RESIST;0.05;;
471174;HT0062;HUB TUBE t30/19,1X89,5;1.00;HT0062;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT0062.pdf
471174;ST0113;COIL H.R. 2,0X303 mm   EN10051 P&O;2.19;;
471174-1;134819;VL TR412 Rubber Snap-In;1.00;;
471174-1;471167;WI GPL 4.375Ax8 H2 19,1x89,5;1.00;;
471198;134819;VL TR412 Rubber Snap-In;1.00;;
471198;260617;Flanged Bush 20,60x30,3-4,0;2.00;;
471198;CP1088;POWDER GREY MET 9006 RESIST;0.05;;
471198;HT0072;HUB TUBE t34/30,2X81,5;1.00;HT0072;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT0072.pdf
471198;ST0113;COIL H.R. 2,0X303 mm   EN10051 P&O;2.19;;
471198-1;134819;VL TR412 Rubber Snap-In;1.00;;
471198-1;471181;WI GG 4.375Ax8 H2 20,1x89,5/81,5;1.00;;
471211;134819;VL TR412 Rubber Snap-In;1.00;;
471211;CP1088;POWDER GREY MET 9006 RESIST;0.06;;
471211;HT0062;HUB TUBE t30/19,1X89,5;1.00;HT0062;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT0062.pdf
471211;ST1005;COIL H.R. 2,0X313 mm   EN10051 P&O;2.36;;
471211-1;134819;VL TR412 Rubber Snap-In;1.00;;
471211-1;471204;WI GPL 5.50Ax8 H2 19,1x89,5;1.00;;
471228;134819;VL TR412 Rubber Snap-In;1.00;;
471228;60085120S02;RIM 8,50IX12 H2 (3,0mm);1.00;60085120S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60085120S02-2.pdf
471228;61P1200239;"DISC,12""PRES,CH 38mm";1.00;DPC61P1200239;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1200239.pdf
471228;CP1088;POWDER GREY MET 9006 RESIST;0.11;;
471228;HT10076;HUB TUBE t38/25,4X97,0 KEYWAY;1.00;HT10076;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT10076.pdf
471228-1;134819;VL TR412 Rubber Snap-In;1.00;;
471228-1;463254;WI EPL 8.50Ix12 H2 25,5x97;1.00;;
471242;134819;VL TR412 Rubber Snap-In;1.00;;
471242;268408;Precision B/Bearing 6204 2RS-20,0x47,0x14,0;2.00;;
471242;CP1088;POWDER GREY MET 9006 RESIST;0.06;;
471242;HT0087;HUB TUBE t51/47X88,9;1.00;HT0087;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT0087.pdf
471242;ST1005;COIL H.R. 2,0X313 mm   EN10051 P&O;2.36;;
471242-1;134819;VL TR412 Rubber Snap-In;1.00;;
471242-1;471235;WI GK 5.50Ax8 H2 20x89,5;1.00;;
471280-1;358222;TY 170/60-8 59A8 (4PR) TL E;1.00;;
471280-1;471242;WI GK 5.50Ax8 H2 20x89,5 TL Silver RAL9006 NORMAL;1.00;WP-080-055-013_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-055-013_BM.pdf
471297-1;358215;TY 160/50-8 50A4 (4PR) TL E;1.00;;
471297-1;471174;WI GPL 4.375Ax8 H2 19,1x89,5 TL Silver RAL9006;1.00;WP-080-044-003_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-044-003_BM.pdf
471310-1;358215;TY 160/50-8 50A4 (4PR) TL E;1.00;;
471310-1;471198;WI GG 4.375Ax8 H2 20,1x89,5/81,5 TL Silver;1.00;WP-080-044-002_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-044-002_BM.pdf
471334-1;358222;TY 170/60-8 59A8 (4PR) TL E;1.00;;
471334-1;471211;WI GPL 5.50Ax8 H2 19,1x89,5 TL Silver RAL9006;1.00;WP-080-055-012_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-055-012_BM.pdf
471341;262345;Valve guard VG3;1.00;VG3_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG3_BM.pdf
471341;60110160S01;RIM 11,00WX16 H2 (4,0MM);1.00;60110160S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60110160S01-2.pdf
471341;61P1600067;"DISC,16""PRES, 6/205/161";1.00;DPC61P1600067;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1600067.pdf
471341;CP1021;POWDER RAL1003 SIGNAL YELLOW;0.22;;
471556;262345;Valve guard VG3;1.00;VG3_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG3_BM.pdf
471556;60070120S02;RIM 7,00IX12 H2 (3,0MM);1.00;60070120S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60070120S02-2.pdf
471556;61P1200052;"DISC,12""PRES,5/140/94";1.00;DPC61P1200052;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1200052.pdf
471556;CP1088;POWDER GREY MET 9006 RESIST;0.11;;
471884;60070160S02;RIM 7,00JX16 H2 (4MM);1.00;;
472010;60200225S03;RIM AG20,0X22,5 H2 (6,0MM);1.00;60200225S03-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60200225S03-2.pdf
472119;60140180S02;RIM 14,00WX18 H2 (4,5MM);1.00;60140180S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60140180S02-2.pdf
472126;60130150S02;RIM 13,00LBX15 H2 (4,0MM);1.00;60130150S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60130150S02-2.pdf
472126;61P1500015;"DISC,15""PRES,6/205/161";1.00;DPC61P1500015;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1500015.pdf
472126;CP1021;POWDER RAL1003 SIGNAL YELLOW;0.38;;
472133;60070120S02;RIM 7,00IX12 H2 (3,0MM);1.00;60070120S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60070120S02-2.pdf
472133;61P1000103;"DISC,10"" PRES 5/112/68";1.00;DPC61P1000103;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1000103.pdf
472133;CP0008;POWDER RAL7035 LIGHT GREY;0.08;;
472157-1;134826;VL TR413 Rubber Snap-In;1.00;;
472157-1;273389;WB 7.00Ix12 H2 4/60/100 Ø14.5 C60 ET-5;1.00;W120-070-109-STR_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\W120-070-109-STR_BM.pdf
472157-1;325859;TY 10.0/80-12 120A8 (10PR) TL E;1.00;;
472164-1;134826;VL TR413 Rubber Snap-In;1.00;;
472164-1;273693;WB 7.00Ix12 H2 5/67/112 Ø16 R12 ET-4;1.00;W120-070-100-STR_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\W120-070-100-STR_BM.pdf
472164-1;325859;TY 10.0/80-12 120A8 (10PR) TL E;1.00;;
472171;60085120S05;RIM 8,50IX12 H2 (3,0mm);1.00;60085120S05-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60085120S05-2.pdf
472171;61P1200255;"DISC,12""PRES, 5/112/68";1.00;DPC61P1200255;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1200255.pdf
472171;CP0008;POWDER RAL7035 LIGHT GREY;0.11;;
472188;60085120S02;RIM 8,50IX12 H2 (3,0mm);1.00;60085120S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60085120S02-2.pdf
472188;61P1200021;"DISC,12""PRES,4/98/58";1.00;DPC61P1200021;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1200021.pdf
472188;CP2009;POWDER RAL1018 YELLOW;0.11;;
472218;60100150S02;RIM 10,00LBX15 H2 (4,0MM);1.00;60100150S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60100150S02-2.pdf
472218;61P1500183;"15"" PLUGGED DISC 8/135/80";1.00;DPC61P1500183;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1500183.pdf
472218;CP1088;POWDER GREY MET 9006 RESIST;0.16;;
472249;262345;Valve guard VG3;1.00;VG3_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG3_BM.pdf
472249;60105120S02;RIM 10,50IX12 H2 (3,0mm);1.00;60105120S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60105120S02-2.pdf
472249;61P1200053;"DISC,12""PRES,5/140/96";1.00;DPC61P1200053;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1200053.pdf
472249;CP1088;POWDER GREY MET 9006 RESIST;0.14;;
472287;198514;Precision B/Bearing 6205 2RS-25,0x52,0x15,0;1.00;;
472287;321820;Precision B/Bearing 6304 2RS-20,0x52,0x15,0;1.00;;
472287;441184;Screw Hub Cap Steel M52x1,3x52,0 Ø52,0;1.00;;
472287;CP1088;POWDER GREY MET 9006 RESIST;0.03;;
472287;HT10073;HUB TUBE r57/47X104,0;1.00;HT10073;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\HT10073.pdf
472287;ST0103;COIL H.R. 2,0X244 mm   EN10051 P&O;1.42;;
472324;60080160S04;RIM 8,00JX16 H2 (4,0MM);1.00;60080160S04-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60080160S04-2.pdf
472324;61P1600088;"DISC,16"" PRES,6/205/161";1.00;DPC61P1600088;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1600088.pdf
472324;CP1088;POWDER GREY MET 9006 RESIST;0.15;;
472331;60085120S05;RIM 8,50IX12 H2 (3,0mm);1.00;60085120S05-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60085120S05-2.pdf
472331;61P1200238;"DISC,12""PRES, 6/120/80";1.00;DPC61P1200238;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1200238.pdf
472331;CP1017;POWDER RAL9001 CREAM;0.22;;
