"Posting Date";"Document No.";"Item No.";"Item ledger entry no.";"Sales amount (actual)";"Customer Code";"Sum of Invoiced Quantity";"WO";"Description";"Customer"
"2025-07-14";"SI013607";"274539.0";"155384.0";"2058.14";"1000104.0";"-241.0";"WO069768";"WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0";"KENDA België NV"
"2025-07-14";"SI013607";"274539.0";"155385.0";"239.12";"1000104.0";"-28.0";"WO070180";"WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0";"KENDA België NV"
"2025-07-14";"SI013607";"275321.0";"155391.0";"1860.0";"1000104.0";"-600.0";"WO073132";"WI GO 2.50Ax8 30,2x71";"KENDA België NV"
"2025-07-14";"SI013607";"275321.0";"155392.0";"1906.5";"1000104.0";"-615.0";"WO073133";"WI GO 2.50Ax8 30,2x71";"KENDA België NV"
"2025-07-14";"SI013607";"276427.0";"155381.0";"2374.4";"1000104.0";"-140.0";"WO068833";"WI GK 4.00Ex9 35x68";"KENDA België NV"
"2025-07-14";"SI013607";"294230.0";"155390.0";"228.76";"1000104.0";"-4.0";"WO072509";"WB 6.75x17.5 H2 6/161/205 Ø21.5 R16 ET0";"KENDA België NV"
"2025-07-14";"SI013607";"663845.0";"155380.0";"358.2";"1000104.0";"-20.0";"WO067780";"WI EK 4.50Ix9 H2 35x66/78 TL White (CP1004)";"KENDA België NV"
"2025-07-14";"SI013607";"663845.0";"155382.0";"3958.11";"1000104.0";"-221.0";"WO068838";"WI EK 4.50Ix9 H2 35x66/78 TL White (CP1004)";"KENDA België NV"
"2025-07-14";"SI013607";"663852.0";"155383.0";"4782.4";"1000104.0";"-280.0";"WO069235";"WI GK 4.50Ix9 H2 35x68 TL Silver RAL9006 6007 2RS";"KENDA België NV"
"2025-07-14";"SI013608";"631622.0";"155496.0";"238.0";"1007189.0";"-20.0";"";"DU Capnut Kit MD+";"GRASDORF GmbH"
"2025-07-14";"SI013612";"159942.0";"155163.0";"45.0";"1007183.0";"-5.0";"";"Euro Pallets 80x120cm";"Forrim bv"
"2025-07-14";"SI013612";"159959.0";"155164.0";"106.68";"1007183.0";"-7.0";"";"Palette Frame L=1,20 B=0,80 (for Euro-Palett)";"Forrim bv"
"2025-07-14";"SI013612";"260761.0";"155165.0";"60.0";"1007183.0";"-5.0";"";"WOOD PALLET 1,20 X 1,26M HEAT TREATED";"Forrim bv"
"2025-07-14";"SI013612";"260808.0";"155166.0";"36.45";"1007183.0";"-5.0";"";"WOOD TOP COVER 1,20X1,26 M HEAT TREATED";"Forrim bv"
"2025-07-14";"SI013612";"262291.0";"155167.0";"19.2";"1007183.0";"-5.0";"";"WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED";"Forrim bv"
"2025-07-14";"SI013612";"422398.0";"155150.0";"2511.0";"1007183.0";"-150.0";"";"DU Headspindle  HD/AW 565mm";"Forrim bv"
"2025-07-14";"SI013612";"422398.0";"155159.0";"1674.0";"1007183.0";"-100.0";"";"DU Headspindle  HD/AW 565mm";"Forrim bv"
"2025-07-14";"SI013612";"470504.0";"155149.0";"572.4";"1007183.0";"-30.0";"";"DU Headspindle  HD/AW 950mm";"Forrim bv"
"2025-07-14";"SI013612";"481920.0";"155157.0";"9180.0";"1007183.0";"-300.0";"WO073937";"DU Clamp HD";"Forrim bv"
"2025-07-14";"SI013612";"494937.0";"155161.0";"1537.2";"1007183.0";"-6.0";"WO073916";"DU Spacer Emc2 42-335";"Forrim bv"
"2025-07-14";"SI013612";"494968.0";"155162.0";"1760.4";"1007183.0";"-6.0";"WO073917";"DU Spacer Emc2 42K-385";"Forrim bv"
"2025-07-14";"SI013612";"495477.0";"155153.0";"583.68";"1007183.0";"-4.0";"WO072667";"DU Spacer Standard 28-250,0";"Forrim bv"
"2025-07-14";"SI013612";"502694.0";"155156.0";"192.96";"1007183.0";"-4.0";"WO057329";"DU Clamp AW 320 Silver";"Forrim bv"
"2025-07-14";"SI013612";"600574.0";"155154.0";"922.37";"1007183.0";"-4.0";"WO072668";"DU Spacer Standard 38K-300";"Forrim bv"
"2025-07-14";"SI013612";"611549.0";"155152.0";"121.44";"1007183.0";"-20.0";"WO061247";"DU Driving lug   AW  12X50X60";"Forrim bv"
"2025-07-14";"SI013612";"631448.0";"155158.0";"2340.0";"1007183.0";"-300.0";"";"DU Footbase HD      Standard";"Forrim bv"
"2025-07-14";"SI013612";"646756.0";"155151.0";"121.44";"1007183.0";"-20.0";"WO074132";"DU Driving lug   AW  60x12x87mm";"Forrim bv"
"2025-07-14";"SI013612";"681221.0";"155160.0";"1230.0";"1007183.0";"-100.0";"";"DU Ringnut Kit HD";"Forrim bv"
"2025-07-11";"SI013604";"159942.0";"154990.0";"0.0";"1002435.0";"-65.0";"";"Euro Pallets 80x120cm";"STIGA S.p.A."
"2025-07-11";"SI013604";"608877.0";"154982.0";"272.0";"1002435.0";"-17.0";"WO071458";"AB 16x6.00-8 42A4 STARCO Turf Grip TR412";"STIGA S.p.A."
"2025-07-11";"SI013604";"608877.0";"154984.0";"96.0";"1002435.0";"-6.0";"WO063655";"AB 16x6.00-8 42A4 STARCO Turf Grip TR412";"STIGA S.p.A."
"2025-07-11";"SI013604";"608877.0";"154985.0";"3104.0";"1002435.0";"-194.0";"WO072640";"AB 16x6.00-8 42A4 STARCO Turf Grip TR412";"STIGA S.p.A."
"2025-07-11";"SI013604";"608891.0";"154983.0";"4838.4";"1002435.0";"-288.0";"WO073942";"AB 16x7.50-8 70A3 STARCO Turf Grip TR412";"STIGA S.p.A."
"2025-07-11";"SI013604";"608914.0";"154989.0";"1036.2";"1002435.0";"-66.0";"WO074088";"AI 160/50-8 50A4 STARCO Turf Grip TR412";"STIGA S.p.A."
"2025-07-11";"SI013604";"625805.0";"154987.0";"5880.0";"1002435.0";"-400.0";"WO074085";"AI 15x6.00-6 46A4 STARCO Turf Grip TR412";"STIGA S.p.A."
"2025-07-11";"SI013604";"625812.0";"154986.0";"10176.0";"1002435.0";"-480.0";"WO074084";"AI 18x8.50-8 58A4 STARCO Turf Grip TR412";"STIGA S.p.A."
"2025-07-11";"SI013604";"676678.0";"154988.0";"7560.0";"1002435.0";"-360.0";"WO074086";"AB 200/55-8 52A4 KENDA K383A TR412";"STIGA S.p.A."
"2025-07-11";"SI013605";"159942.0";"155068.0";"54.0";"1000103.0";"-6.0";"";"Euro Pallets 80x120cm";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"260761.0";"155069.0";"336.0";"1000103.0";"-28.0";"";"WOOD PALLET 1,20 X 1,26M HEAT TREATED";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"260808.0";"155070.0";"204.12";"1000103.0";"-28.0";"";"WOOD TOP COVER 1,20X1,26 M HEAT TREATED";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"262291.0";"155071.0";"23.04";"1000103.0";"-6.0";"";"WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"275666.0";"155062.0";"2803.5";"1000103.0";"-50.0";"WO072789";"WB 9.00Wx18 H2 8/221/275 Ø21.5 R16 ET-8";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"275963.0";"155064.0";"5130.05";"1000103.0";"-37.0";"WO072813";"WB AG16.00x22.5 H2 8/221/275 Ø21.5 R16 ET-12";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"277318.0";"155065.0";"6462.0";"1000103.0";"-360.0";"WO073226";"WI EK 4.50Ix9 H2 35x66/78";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"277318.0";"155066.0";"6462.0";"1000103.0";"-360.0";"WO073227";"WI EK 4.50Ix9 H2 35x66/78";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"385471.0";"155063.0";"1656.0";"1000103.0";"-100.0";"WO072792";"WB 6.00Ix10 H2 4/67/101.6 Ø12.5 C60 ET-3";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"493442.0";"155067.0";"3875.28";"1000103.0";"-804.0";"WO073230";"WI GO 2.50Ax8 35,3x63,5";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"613987.0";"155060.0";"5631.99";"1000103.0";"-39.0";"WO072132";"WB AG16.00x22.5 H2 5/290/335 Ø21.5 R22.4 ET-20";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"614014.0";"155061.0";"8037.12";"1000103.0";"-92.0";"WO072133";"WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10";"KENDA GB Rugeley Ltd"
"2025-07-11";"SI013605";"736006.0";"155059.0";"320.6";"1000103.0";"-14.0";"WO069908";"WB 7.00Ix10 H2 4/64.5/101.6 Ø14.5 C60 ET-28.5";"KENDA GB Rugeley Ltd"
"2025-07-10";"SI013601";"159942.0";"154716.0";"54.0";"1007426.0";"-6.0";"";"Euro Pallets 80x120cm";"Maschinenfabrik Bernard Krone GmbH & Co. KG"
"2025-07-10";"SI013601";"260761.0";"154717.0";"432.0";"1007426.0";"-36.0";"";"WOOD PALLET 1,20 X 1,26M HEAT TREATED";"Maschinenfabrik Bernard Krone GmbH & Co. KG"
"2025-07-10";"SI013601";"260808.0";"154718.0";"262.44";"1007426.0";"-36.0";"";"WOOD TOP COVER 1,20X1,26 M HEAT TREATED";"Maschinenfabrik Bernard Krone GmbH & Co. KG"
"2025-07-10";"SI013601";"262291.0";"154719.0";"23.04";"1007426.0";"-6.0";"";"WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED";"Maschinenfabrik Bernard Krone GmbH & Co. KG"
"2025-07-10";"SI013601";"357850.0";"154714.0";"172.0";"1007426.0";"-4.0";"WO072011";"WB 13.00x17 H2 6/161/205 Ø21.5 R16 ET0";"Maschinenfabrik Bernard Krone GmbH & Co. KG"
"2025-07-10";"SI013601";"357850.0";"154715.0";"24510.0";"1007426.0";"-570.0";"WO072012";"WB 13.00x17 H2 6/161/205 Ø21.5 R16 ET0";"Maschinenfabrik Bernard Krone GmbH & Co. KG"
"2025-07-10";"SI013602";"159942.0";"154747.0";"369.0";"1000108.0";"-41.0";"";"Euro Pallets 80x120cm";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"262291.0";"154748.0";"157.44";"1000108.0";"-41.0";"";"WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"277318.0";"154740.0";"4196.0";"1000108.0";"-200.0";"WO073129";"WI EK 4.50Ix9 H2 35x66/78";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"471242.0";"154741.0";"4824.75";"1000108.0";"-525.0";"WO073626";"WI GK 5.50Ax8 H2 20x89,5 TL Silver RAL9006 NORMAL";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"471242.0";"154743.0";"3859.8";"1000108.0";"-420.0";"WO073632";"WI GK 5.50Ax8 H2 20x89,5 TL Silver RAL9006 NORMAL";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"471242.0";"154745.0";"4824.75";"1000108.0";"-525.0";"WO073707";"WI GK 5.50Ax8 H2 20x89,5 TL Silver RAL9006 NORMAL";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"508337.0";"154738.0";"2280.0";"1000108.0";"-150.0";"WO072504";"WI EK 4.00Ex9 35x66/78";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"508337.0";"154739.0";"2280.0";"1000108.0";"-150.0";"WO073125";"WI EK 4.00Ex9 35x66/78";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"516455.0";"154736.0";"3823.5";"1000108.0";"-150.0";"WO072487";"WB 7.00Ix12 H2 5/94/140 Ø16.5 R14 ET0";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"681306.0";"154737.0";"1190.6";"1000108.0";"-20.0";"WO072499";"WB 13LBx15 H2 6/161/205 Ø21.5 R16 ET0";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"739328.0";"154742.0";"4824.75";"1000108.0";"-525.0";"WO073629";"WI GK 5.50Ax8 H2 20x89,5 TL Black CP2004 6204 2RS";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"739328.0";"154744.0";"2894.85";"1000108.0";"-315.0";"WO073633";"WI GK 5.50Ax8 H2 20x89,5 TL Black CP2004 6204 2RS";"KENDA Polska Sp. z.o.o."
"2025-07-10";"SI013602";"739328.0";"154746.0";"5789.7";"1000108.0";"-630.0";"WO073710";"WI GK 5.50Ax8 H2 20x89,5 TL Black CP2004 6204 2RS";"KENDA Polska Sp. z.o.o."
"2025-07-09";"SI013600";"103907.0";"154644.0";"251.52";"1000404.0";"-2.0";"WO073520";"DU AW Spacer Stepped 42/34K-200,0";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"111094.0";"154630.0";"130.46";"1000404.0";"-1.0";"WO073315";"DU AW Spacer Stepped 44/34K-200,0";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"113876.0";"154635.0";"349.6";"1000404.0";"-2.0";"WO073424";"DU Wheel MD/HD W7x28/20-170,0   130VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"117201.0";"154636.0";"296.8";"1000404.0";"-2.0";"WO073427";"DU Wheel MD/HD W7x20-170,0   125VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"117393.0";"154633.0";"609.6";"1000404.0";"-2.0";"WO073422";"DU Wheel MD/HD W8x48/38K-300,0   170VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"117706.0";"154632.0";"450.4";"1000404.0";"-2.0";"WO073324";"WB W15Lx24 6/285/325 Ø19.5 ET-50";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"117805.0";"154640.0";"316.0";"1000404.0";"-2.0";"WO073480";"DU Wheel MD/HD W8x20-250,0   140VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"118116.0";"154639.0";"430.4";"1000404.0";"-2.0";"WO073464";"DU Wheel MD/HD W8x36/30-170,0";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"143552.0";"154619.0";"2080.0";"1000404.0";"-500.0";"";"DU Footbase MD      Standard";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"159942.0";"154645.0";"81.0";"1000404.0";"-9.0";"";"Euro Pallets 80x120cm";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"260761.0";"154646.0";"288.0";"1000404.0";"-24.0";"";"WOOD PALLET 1,20 X 1,26M HEAT TREATED";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"260808.0";"154647.0";"174.96";"1000404.0";"-24.0";"";"WOOD TOP COVER 1,20X1,26 M HEAT TREATED";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"262291.0";"154648.0";"34.56";"1000404.0";"-9.0";"";"WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"447902.0";"154616.0";"4860.0";"1000404.0";"-500.0";"";"DU Headspindle  MD/SOK 550mm";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"494593.0";"154620.0";"1304.0";"1000404.0";"-200.0";"";"DU Ringnut MD";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"495224.0";"154617.0";"2440.0";"1000404.0";"-250.0";"";"DU Hookspindle  MD/SOK 575mm";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"581064.0";"154621.0";"1320.0";"1000404.0";"-500.0";"";"GS Lead Nut for SOK Nut DIN   M16 1.50 S355J2G3...";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"584669.0";"154622.0";"3441.6";"1000404.0";"-12.0";"WO073102";"DU Wheel MD/HD W8x44/34K-300,0   170VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"584706.0";"154627.0";"573.6";"1000404.0";"-2.0";"WO073280";"DU Wheel MD/HD W8x44/34K-300,0   170VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"585024.0";"154623.0";"1720.8";"1000404.0";"-6.0";"WO073103";"DU Wheel MD/HD W8x44/34K-300,0   170VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"585055.0";"154618.0";"400.0";"1000404.0";"-2.0";"WO073052";"DU Wheel MD/HD W7x32/24K-170,0";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"585130.0";"154628.0";"1147.2";"1000404.0";"-4.0";"WO073281";"DU Wheel MD/HD W8x44/34K-300,0   170VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"585536.0";"154629.0";"253.2";"1000404.0";"-1.0";"WO073314";"DU Wheel MD/HD W8x40/30K-300,0   160VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"592121.0";"154615.0";"382.62";"1000404.0";"-6.0";"WO071515";"WB 13.00x17 8/221/275 Ø27 R18 ET20";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"611051.0";"154631.0";"667.2";"1000404.0";"-2.0";"WO073318";"DU Wheel MD/HD W8x48/38K-300,0   170VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"621838.0";"154637.0";"667.2";"1000404.0";"-2.0";"WO073434";"DU Wheel MD/HD W8x48/38K-300,0   190VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"638744.0";"154624.0";"573.6";"1000404.0";"-2.0";"WO073153";"DU Wheel MD/HD W8x44/34K-300,0   190VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"666051.0";"154626.0";"573.6";"1000404.0";"-2.0";"WO073222";"DU Wheel MD/HD W8x44/34K-300,0   160VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"677743.0";"154641.0";"408.8";"1000404.0";"-2.0";"WO073481";"DU Wheel MD/HD W8x32/28-170,0";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"708690.0";"154643.0";"667.2";"1000404.0";"-2.0";"WO073502";"DU Wheel MD/HD W8x48/38K-300,0   170VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"719948.0";"154634.0";"960.0";"1000404.0";"-6.0";"WO073423";"DU Wheel MD/HD W7x24/20-170,0   136VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"727158.0";"154625.0";"691.2";"1000404.0";"-2.0";"WO073181";"DU Wheel MD/HD W10x48/38K-300,0   150VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"727547.0";"154642.0";"160.0";"1000404.0";"-1.0";"WO073495";"DU Wheel MD/HD W7x24/20K-170,0   135VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"733845.0";"154638.0";"443.2";"1000404.0";"-2.0";"WO073463";"DU Wheel MD/HD W10x36-160,0   120VSM";"KENDA Schweiz AG"
"2025-07-09";"SI013600";"733975.0";"154614.0";"2691.57";"1000404.0";"-49.0";"WO071505";"WB 6Jx16 H2 5/94/140 Ø18.5 R14 ET68";"KENDA Schweiz AG"
"2025-07-08";"SI013598";"143750.0";"154353.0";"18393.22";"1000106.0";"-362.0";"WO072929";"WB 12LBx15 H2 10/93/140 Ø15 - ET-70 Silver";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"143880.0";"154354.0";"65.72";"1000106.0";"-2.0";"WO072935";"WB 7.00Ix12 H2 10/93/140 Ø16.5 ET20 Silver";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"143880.0";"154355.0";"1905.88";"1000106.0";"-58.0";"WO072936";"WB 7.00Ix12 H2 10/93/140 Ø16.5 ET20 Silver";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"143941.0";"154351.0";"1946.27";"1000106.0";"-47.0";"WO072756";"WB 10.50Ix12 H2 5/79.5/114.3 Ø12 C75 ET-25 Orange";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"159942.0";"154358.0";"27.0";"1000106.0";"-3.0";"";"Euro Pallets 80x120cm";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"260761.0";"154359.0";"372.0";"1000106.0";"-31.0";"";"WOOD PALLET 1,20 X 1,26M HEAT TREATED";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"260808.0";"154360.0";"225.99";"1000106.0";"-31.0";"";"WOOD TOP COVER 1,20X1,26 M HEAT TREATED";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"262291.0";"154361.0";"11.52";"1000106.0";"-3.0";"";"WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"283104.0";"154356.0";"1263.6";"1000106.0";"-45.0";"WO072959";"WB 8.50Ix12 H2 4/85/130 Ø14.5 ET-22";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"474120.0";"154357.0";"2870.4";"1000106.0";"-60.0";"WO073076";"WB 13LBx15 H2 5/192/225 Ø18.5 R14 ET83.5";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"559537.0";"154350.0";"1005.0";"1000106.0";"-10.0";"WO072030";"WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET0 RFH";"KENDA Deutschland GmbH"
"2025-07-08";"SI013598";"743547.0";"154352.0";"9233.28";"1000106.0";"-96.0";"WO072857";"WB W13x20 H2 8/221/275 Ø21.5 R16 ET60";"KENDA Deutschland GmbH"
"2025-07-08";"SI013599";"110813.0";"154585.0";"324.0";"1000103.0";"-4.0";"WO073640";"WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"159942.0";"154586.0";"81.0";"1000103.0";"-9.0";"";"Euro Pallets 80x120cm";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"159959.0";"154587.0";"45.72";"1000103.0";"-3.0";"";"Palette Frame L=1,20 B=0,80 (for Euro-Palett)";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"260761.0";"154588.0";"480.0";"1000103.0";"-40.0";"";"WOOD PALLET 1,20 X 1,26M HEAT TREATED";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"260808.0";"154589.0";"291.6";"1000103.0";"-40.0";"";"WOOD TOP COVER 1,20X1,26 M HEAT TREATED";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"262291.0";"154590.0";"34.56";"1000103.0";"-9.0";"";"WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"275963.0";"154583.0";"15251.5";"1000103.0";"-110.0";"WO072813";"WB AG16.00x22.5 H2 8/221/275 Ø21.5 R16 ET-12";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"277318.0";"154584.0";"9693.0";"1000103.0";"-540.0";"WO072815";"WI EK 4.50Ix9 H2 35x66/78";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"494708.0";"154560.0";"2527.8";"1000103.0";"-60.0";"WO070458";"WB 9.00x15.3 H2 5/94/140 Ø18.5 R14 ET-35";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"542195.0";"154580.0";"867.0";"1000103.0";"-100.0";"WO072795";"WI EK 2.50Ax8 25x63,5/71,5";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"613987.0";"154562.0";"12563.67";"1000103.0";"-87.0";"WO072132";"WB AG16.00x22.5 H2 5/290/335 Ø21.5 R22.4 ET-20";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"614014.0";"154563.0";"7600.32";"1000103.0";"-87.0";"WO072133";"WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"713571.0";"154581.0";"1799.0";"1000103.0";"-50.0";"WO072803";"WB 10.50Ix12 H2 5/79.5/114.3 Ø12 C75 ET-25";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"723846.0";"154582.0";"3205.44";"1000103.0";"-96.0";"WO072806";"WB 8.50Ix12 H2 5/71/152.4 Ø14 C60 ET60";"KENDA GB Rugeley Ltd"
"2025-07-08";"SI013599";"736006.0";"154559.0";"1832.0";"1000103.0";"-80.0";"WO069908";"WB 7.00Ix10 H2 4/64.5/101.6 Ø14.5 C60 ET-28.5";"KENDA GB Rugeley Ltd"
"2025-07-07";"SI013597";"112084.0";"153962.0";"4000.32";"1000106.0";"-144.0";"WO072441";"WB 10.50Ix12 H2 10/93/140 Ø15 - ET-50 Silver";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"112091.0";"153959.0";"47.0";"1000106.0";"-2.0";"WO072094";"WB 7.00Ix12 H2 5/93/140 Ø15 ET-10 Silver RAL9006";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"114040.0";"153960.0";"1855.5";"1000106.0";"-30.0";"WO072382";"WB 7.00Ix8 H2 4/60/100 Ø14.5 C60 ET-48";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"139968.0";"153976.0";"56.0";"1000106.0";"-8.0";"WO073589";"WB 2.50Ax8 H2 4/60/100 Ø14.5 C60 ET0";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"143750.0";"153968.0";"4268.04";"1000106.0";"-84.0";"WO072929";"WB 12LBx15 H2 10/93/140 Ø15 - ET-70 Silver";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"143842.0";"153969.0";"3226.86";"1000106.0";"-63.0";"WO072931";"WB 13.00x17 H2 6/161/205 Ø21.5 R16 ET0 Orange";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"143910.0";"153961.0";"195.9";"1000106.0";"-6.0";"WO072417";"WB 10.50Ix12 H2 4/85/130 Ø14.5 ET-53 Silver";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"159942.0";"153979.0";"189.0";"1000106.0";"-21.0";"";"Euro Pallets 80x120cm";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"159959.0";"153983.0";"182.88";"1000106.0";"-12.0";"";"Palette Frame L=1,20 B=0,80 (for Euro-Palett)";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"162065.0";"153967.0";"88.12";"1000106.0";"-1.0";"WO072924";"WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET0 VG3 Yellow";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"200729.0";"153965.0";"1923.0";"1000106.0";"-300.0";"WO072909";"WI GR 2.50Ax8 20x120/114";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"260761.0";"153980.0";"288.0";"1000106.0";"-24.0";"";"WOOD PALLET 1,20 X 1,26M HEAT TREATED";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"260808.0";"153981.0";"174.96";"1000106.0";"-24.0";"";"WOOD TOP COVER 1,20X1,26 M HEAT TREATED";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"262291.0";"153982.0";"80.64";"1000106.0";"-21.0";"";"WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"276328.0";"153966.0";"4053.7";"1000106.0";"-70.0";"WO072915";"WB 13LBx15 H2 6/161/205 Ø21.5 R16 ET-100";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"293219.0";"153957.0";"198.42";"1000106.0";"-3.0";"WO071704";"WB 8.50Ix12 H2 5/80/115 Ø18.5 R14 ET-95";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"293219.0";"153964.0";"1716.0";"1000106.0";"-60.0";"WO072860";"WB 8.50Ix12 H2 5/80/115 Ø18.5 R14 ET-95";"KENDA Deutschland GmbH"
"2025-07-07";"SI013597";"376851.0";"153958.0";"1615.25";"1000106.0";"-325.0";"WO071882";"WI GO 2.50Ax8 35x71";"KENDA Deutschland GmbH"
