Month;Posting Date;No.;Customer;invoice amount;ship cost;sales
9;30.9.2025;SI013762;Evolution S.r.l.;9975,32;-800; 9.175  € 
9;30.9.2025;SI013763;BOHNENKAMP A/S;20799,37;0; 20.799  € 
9;30.9.2025;SI013764;ROSENBAUER INTERNATIONAL AG;23833,08;0; 23.833  € 
9;30.9.2025;SI013765;GRASDORF GmbH;17072,82;0; 17.073  € 
9;30.9.2025;SI013768;KENDA Deutschland GmbH;49052,06;-1880; 47.172  € 
9;30.9.2025;SI013770;KENDA Polska Sp. z.o.o.;39992,46;0; 39.992  € 
9;30.9.2025;SI013771;BOHNENKAMP SE;49958,66;-1970; 47.989  € 
9;30.9.2025;SI013772;KENDA Deutschland GmbH;11225,17;0; 11.225  € 
9;30.9.2025;SI013773;KENDA GB Rugeley Ltd;44571,41;-3570; 41.001  € 
9;30.9.2025;SI013775;KENDA Schweiz AG;2755,63;0; 2.756  € 
9;30.9.2025;SI013776;Bohnenkamp SIA;25554,39;0; 25.554  € 
10;6.10.2025;SI013780;KENDA Deutschland GmbH;45948,59;-1880; 44.069  € 
10;6.10.2025;SI013781;ROSENBAUER INTERNATIONAL AG;30056,4;0; 30.056  € 
10;6.10.2025;SI013782;ROSENBAUER INTERNATIONAL AG;20384,31;0; 20.384  € 
